# Generated by MIB Walker
# Version 10.10.201
# 28/12/2017 04:49:49 p.m.
#
# MIB Walk of 10.12.13.2
MIB	OID	Name	Type	Value
IF-MIB	1.3.6.1.2.1.2.2.1.11.2	ifInUcastPkts.2	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.11.3	ifInUcastPkts.3	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.11.4	ifInUcastPkts.4	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.11.5	ifInUcastPkts.5	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.11.6	ifInUcastPkts.6	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.11.7	ifInUcastPkts.7	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.11.8	ifInUcastPkts.8	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.11.9	ifInUcastPkts.9	Counter32	243976602
IF-MIB	1.3.6.1.2.1.2.2.1.11.10	ifInUcastPkts.10	Counter32	22997846
IF-MIB	1.3.6.1.2.1.2.2.1.11.11	ifInUcastPkts.11	Counter32	479428612
IF-MIB	1.3.6.1.2.1.2.2.1.11.12	ifInUcastPkts.12	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.11.13	ifInUcastPkts.13	Counter32	365231838
IF-MIB	1.3.6.1.2.1.2.2.1.11.14	ifInUcastPkts.14	Counter32	208161401
IF-MIB	1.3.6.1.2.1.2.2.1.11.15	ifInUcastPkts.15	Counter32	683431483
IF-MIB	1.3.6.1.2.1.2.2.1.11.16	ifInUcastPkts.16	Counter32	645545766
IF-MIB	1.3.6.1.2.1.2.2.1.12.1	ifInNUcastPkts.1	Counter32	1844222
IF-MIB	1.3.6.1.2.1.2.2.1.12.2	ifInNUcastPkts.2	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.12.3	ifInNUcastPkts.3	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.12.4	ifInNUcastPkts.4	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.12.5	ifInNUcastPkts.5	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.12.6	ifInNUcastPkts.6	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.12.7	ifInNUcastPkts.7	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.12.8	ifInNUcastPkts.8	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.12.9	ifInNUcastPkts.9	Counter32	693694
IF-MIB	1.3.6.1.2.1.2.2.1.12.10	ifInNUcastPkts.10	Counter32	219455
IF-MIB	1.3.6.1.2.1.2.2.1.12.11	ifInNUcastPkts.11	Counter32	71265958
IF-MIB	1.3.6.1.2.1.2.2.1.12.12	ifInNUcastPkts.12	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.12.13	ifInNUcastPkts.13	Counter32	551406
IF-MIB	1.3.6.1.2.1.2.2.1.12.14	ifInNUcastPkts.14	Counter32	1505770
IF-MIB	1.3.6.1.2.1.2.2.1.12.15	ifInNUcastPkts.15	Counter32	286112
IF-MIB	1.3.6.1.2.1.2.2.1.12.16	ifInNUcastPkts.16	Counter32	588662
IF-MIB	1.3.6.1.2.1.2.2.1.13.1	ifInDiscards.1	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.13.2	ifInDiscards.2	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.13.3	ifInDiscards.3	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.13.4	ifInDiscards.4	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.13.5	ifInDiscards.5	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.13.6	ifInDiscards.6	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.13.7	ifInDiscards.7	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.13.8	ifInDiscards.8	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.13.9	ifInDiscards.9	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.13.10	ifInDiscards.10	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.13.11	ifInDiscards.11	Counter32	11
IF-MIB	1.3.6.1.2.1.2.2.1.13.12	ifInDiscards.12	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.13.13	ifInDiscards.13	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.13.14	ifInDiscards.14	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.13.15	ifInDiscards.15	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.13.16	ifInDiscards.16	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.14.1	ifInErrors.1	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.14.2	ifInErrors.2	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.14.3	ifInErrors.3	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.14.4	ifInErrors.4	Counter32	0
IF-MIB	1.3.6.1.2.1.2.2.1.14.5	ifInErrors.5	Counter32	0
